"song_id","song_name","song_lyrics_url","annotation_count","artist_id","artist_name","artist_url"
1082953,"7th or St. Tammany","https://genius.com/Uicideboy-7th-or-st-tammany-lyrics",1,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2313534,"A Death in the Ocean Would Be So Beautiful","https://genius.com/Uicideboy-a-death-in-the-ocean-would-be-so-beautiful-lyrics",6,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2479743,"A Girl Named Drool and a Pack of Kools","https://genius.com/Uicideboy-a-girl-named-drool-and-a-pack-of-kools-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2417283,"Aite, Bet.","https://genius.com/Uicideboy-aite-bet-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
5254657,"All Dogs Go to Heaven","https://genius.com/Uicideboy-all-dogs-go-to-heaven-lyrics",11,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3784251,"All Known $UICIDEBOY$ Alter-Egos and Personas","https://genius.com/Uicideboy-all-known-suicideboy-alter-egos-and-personas-annotated",9,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1787165,"All My Life I've Wanted a Chevy","https://genius.com/Uicideboy-all-my-life-ive-wanted-a-chevy-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3476478,"All That Glitters Is Not Gold, But It's Still Damn Beautiful","https://genius.com/Uicideboy-all-that-glitters-is-not-gold-but-its-still-damn-beautiful-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2417276,"AM/PM","https://genius.com/Uicideboy-am-pm-lyrics",7,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
5254574,"...And to Those I Love, Thanks for Sticking Around","https://genius.com/Uicideboy-and-to-those-i-love-thanks-for-sticking-around-lyrics",8,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2414117,"Antarctica","https://genius.com/Uicideboy-antarctica-lyrics",12,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2479774,"Aokigahara","https://genius.com/Uicideboy-aokigahara-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
562411,"Aphrodite (The Aquatic Ape Theory)","https://genius.com/Uicideboy-aphrodite-the-aquatic-ape-theory-lyrics",2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1787168,"April Mourning","https://genius.com/Uicideboy-april-mourning-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
8238974,"Ashes of Luxury","https://genius.com/Uicideboy-ashes-of-luxury-lyrics",6,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
598169,"$aturn $unrise","https://genius.com/Uicideboy-aturn-sunrise-lyrics",1,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3101847,"Audubon","https://genius.com/Uicideboy-audubon-lyrics",14,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
6761176,"Avalon","https://genius.com/Uicideboy-avalon-lyrics",10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
648722,"Back from the Dead","https://genius.com/Uicideboy-back-from-the-dead-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
670072,"Bag$","https://genius.com/Uicideboy-bag-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1081260,"Behold a Pale Horse","https://genius.com/Uicideboy-behold-a-pale-horse-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
5254573,"Bizarro","https://genius.com/Uicideboy-bizarro-lyrics",9,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2256230,"Black Beard","https://genius.com/Uicideboy-black-beard-lyrics",8,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
6934414,"Bleach","https://genius.com/Uicideboy-bleach-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2856080,"BREAKDALAW2K16 (Ft. Pouya)","https://genius.com/Uicideboy-breakdalaw2k16-lyrics",12,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3871392,"Bring Out Your Dead","https://genius.com/Uicideboy-bring-out-your-dead-lyrics",9,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2256232,"Broke(n)","https://genius.com/Uicideboy-broken-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2374625,"Can of Worms","https://genius.com/Uicideboy-can-of-worms-lyrics",8,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3871402,"Carrollton","https://genius.com/Uicideboy-carrollton-lyrics",43,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1787170,"Cerberus (Ft. Masta Drag)","https://genius.com/Uicideboy-cerberus-lyrics",5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2798196,"Champion of Death","https://genius.com/Uicideboy-champion-of-death-lyrics",10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2856126,"Chariot of Fire","https://genius.com/Uicideboy-chariot-of-fire-lyrics",7,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2313527,"Cherish the Dead","https://genius.com/Uicideboy-cherish-the-dead-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2417269,"Cherry P.I.E.","https://genius.com/Uicideboy-cherry-pie-lyrics",7,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2479753,"Chevrolet (Pimpalicious Candy Cane Mane ’74 Remix)","https://genius.com/Uicideboy-chevrolet-pimpalicious-candy-cane-mane-74-remix-lyrics",5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1081014,"Clouds as Witnesses","https://genius.com/Uicideboy-clouds-as-witnesses-lyrics",13,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
4004258,"CLYDE (I Hope At Least One Of My Ex-Girlfriends Hears This)","https://genius.com/Uicideboy-clyde-i-hope-at-least-one-of-my-ex-girlfriends-hears-this-lyrics",1,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3871399,"Coma","https://genius.com/Uicideboy-coma-lyrics",11,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2375345,"Converting...","https://genius.com/Uicideboy-converting-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
648699,"Crucify Me Wearing Tommy","https://genius.com/Uicideboy-crucify-me-wearing-tommy-lyrics",5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1083019,"Dead Batteries","https://genius.com/Uicideboy-dead-batteries-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
562403,"Deep Web (Ft. Woozy Medwick)","https://genius.com/Uicideboy-deep-web-lyrics",5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
6934393,"Degeneration in the Key of A Minor","https://genius.com/Uicideboy-degeneration-in-the-key-of-a-minor-lyrics",1,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2371816,"Dejection","https://genius.com/Uicideboy-dejection-lyrics",5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2136160,"DIEMONDS","https://genius.com/Uicideboy-diemonds-lyrics",7,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
675527,"Don't Give a Fuck ($oul Doubt Remix)","https://genius.com/Uicideboy-dont-give-a-fuck-oul-doubt-remix-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2479739,"Do You Believe in God?","https://genius.com/Uicideboy-do-you-believe-in-god-lyrics",13,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1083584,"Drugs/Hoes/Money/Etc.","https://genius.com/Uicideboy-drugs-hoes-money-etc-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
693567,"Durango '95 (A Real Horror Show)","https://genius.com/Uicideboy-durango-95-a-real-horror-show-lyrics",6,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2856132,"Eclipse","https://genius.com/Uicideboy-eclipse-lyrics",8,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3646884,"Either Hated Or Ignored","https://genius.com/Uicideboy-either-hated-or-ignored-lyrics",15,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2856112,"Elysian Fields","https://genius.com/Uicideboy-elysian-fields-lyrics",10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
8064252,"Escape from BABYLON","https://genius.com/Uicideboy-escape-from-babylon-lyrics",10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
8238980,"Eulogy","https://genius.com/Uicideboy-eulogy-lyrics",12,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2256234,"Everest","https://genius.com/Uicideboy-everest-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2375371,"Evolution (Pretty Good Movie/Pretty Good Theory)","https://genius.com/Uicideboy-evolution-pretty-good-movie-pretty-good-theory-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2136220,"Exodus","https://genius.com/Uicideboy-exodus-lyrics",8,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3232498,"Face It","https://genius.com/Uicideboy-face-it-lyrics",6,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3232559,"Failure by Design","https://genius.com/Uicideboy-failure-by-design-lyrics",14,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2136214,"Fake Pontchartrain (Ft. Key Nyata)","https://genius.com/Uicideboy-fake-pontchartrain-lyrics",5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
696003,"Flodgin’","https://genius.com/Uicideboy-flodgin-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2312727,"Fold","https://genius.com/Uicideboy-fold-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
5541220,"Forget It","https://genius.com/Uicideboy-forget-it-lyrics",4,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3224330,"For the Last Time","https://genius.com/Uicideboy-for-the-last-time-lyrics",16,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
515515,"Friday the 13th","https://genius.com/Uicideboy-friday-the-13th-lyrics",2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3232557,"From the Beginning of Time Until the End of Time","https://genius.com/Uicideboy-from-the-beginning-of-time-until-the-end-of-time-lyrics",10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3102024,"FUCK","https://genius.com/Uicideboy-fuck-lyrics",2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
562422,"Fuck a Hoe (Ft. Black Smurf)","https://genius.com/Uicideboy-fuck-a-hoe-lyrics",2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3484218,"FUCKALLOFYOU2K18","https://genius.com/Uicideboy-fuckallofyou2k18-lyrics",5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1083826,"Fuck Boy Blood Bath","https://genius.com/Uicideboy-fuck-boy-blood-bath-lyrics",5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
5551754,"Fucked Up","https://genius.com/Uicideboy-fucked-up-lyrics",1,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
8238957,"Fucking Your Culture","https://genius.com/Uicideboy-fucking-your-culture-lyrics",24,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3871403,"FUCK the Industry","https://genius.com/Uicideboy-fuck-the-industry-lyrics",14,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2303582,"FUCKTHEPOPULATION","https://genius.com/Uicideboy-fuckthepopulation-lyrics",10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
